Variable Name,Min Date,Max Date,Number of Samples
ACIDITY,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
AMMONIA_NITROGEN_SOLUBLE,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
CARBON_PARTICULATE_ORGANIC_INTEGRATED,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
CHLORIDE,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
CHLOROPHYLL_A_CORRECTED_INTEGRATED,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
CHLOROPHYLL_A_UNCORRECTED_INTEGRATED,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
NITRATE_NITRITE_NITROGEN_FILTERED,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
NITROGEN_TOTAL_PARTICULATE_INTEGRATED,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
OXYGEN_CONCENTRATION_DISSOLVED,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
PHOSPHORUS_SOLUBLE_REACTIVE_FILTERED,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
SECCHI_DISC_DEPTH,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
SILICA,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
SOLUBLE_REACTIVE_PHOSPHORUS,02/08/2013 00:00:00,02/08/2013 00:00:00,2.000
SPECIFIC_CONDUCTANCE_25_DEG_C,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
TEMPERATURE_EBT,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
TOTAL_KJELDAHL_NITROGEN_FILTERED,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
TOTAL_PHOSPHORUS,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
TOTAL_PHOSPHORUS_FILTERED,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
WQ_NIT_AMM,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
WQ_NIT_NIT,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
WQ_OXY_OXY,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
WQ_PHS_FRP,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
COND,18/04/2013 00:00:00,18/04/2013 00:00:00,1.000
TEMP,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
WQ_DIAG_TOT_TKN,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
WQ_DIAG_TOT_TP,18/04/2013 00:00:00,02/08/2013 00:00:00,3.000
