ISOTime,Flow
02/01/2088 00:00:00,4805.50000
03/01/2088 00:00:00,4845.90000
04/01/2088 00:00:00,4679.70000
05/01/2088 00:00:00,4533.40000
06/01/2088 00:00:00,4443.90000
07/01/2088 00:00:00,4606.20000
08/01/2088 00:00:00,4638.10000
09/01/2088 00:00:00,4862.30000
10/01/2088 00:00:00,5587.20000
11/01/2088 00:00:00,6065.10000
12/01/2088 00:00:00,5748.60000
13/01/2088 00:00:00,5534.60000
14/01/2088 00:00:00,5369.30000
15/01/2088 00:00:00,4849.30000
16/01/2088 00:00:00,4587.00000
17/01/2088 00:00:00,4316.80000
18/01/2088 00:00:00,4175.30000
19/01/2088 00:00:00,4080.40000
20/01/2088 00:00:00,4093.30000
21/01/2088 00:00:00,4096.10000
22/01/2088 00:00:00,3993.10000
23/01/2088 00:00:00,3953.20000
24/01/2088 00:00:00,3845.80000
25/01/2088 00:00:00,4082.20000
26/01/2088 00:00:00,3952.80000
27/01/2088 00:00:00,3887.50000
28/01/2088 00:00:00,3980.50000
29/01/2088 00:00:00,3955.70000
30/01/2088 00:00:00,3928.20000
31/01/2088 00:00:00,3850.30000
01/02/2088 00:00:00,3963.60000
02/02/2088 00:00:00,3991.90000
03/02/2088 00:00:00,3970.70000
04/02/2088 00:00:00,3944.50000
05/02/2088 00:00:00,4009.60000
06/02/2088 00:00:00,4431.20000
07/02/2088 00:00:00,6193.50000
08/02/2088 00:00:00,6904.00000
09/02/2088 00:00:00,6931.30000
10/02/2088 00:00:00,6419.80000
11/02/2088 00:00:00,5673.20000
12/02/2088 00:00:00,5113.60000
13/02/2088 00:00:00,4747.70000
14/02/2088 00:00:00,4450.70000
15/02/2088 00:00:00,4197.60000
16/02/2088 00:00:00,4080.00000
17/02/2088 00:00:00,4080.90000
18/02/2088 00:00:00,4133.20000
19/02/2088 00:00:00,4694.30000
20/02/2088 00:00:00,4884.50000
21/02/2088 00:00:00,4679.30000
22/02/2088 00:00:00,4355.60000
23/02/2088 00:00:00,4317.50000
24/02/2088 00:00:00,4393.00000
25/02/2088 00:00:00,4454.40000
26/02/2088 00:00:00,4465.60000
27/02/2088 00:00:00,4294.80000
28/02/2088 00:00:00,4296.60000
29/02/2088 00:00:00,4268.50000
01/03/2088 00:00:00,4213.30000
02/03/2088 00:00:00,4304.40000
03/03/2088 00:00:00,4182.70000
04/03/2088 00:00:00,4594.40000
05/03/2088 00:00:00,5533.50000
06/03/2088 00:00:00,5553.90000
07/03/2088 00:00:00,5382.60000
08/03/2088 00:00:00,5273.00000
09/03/2088 00:00:00,5169.90000
10/03/2088 00:00:00,5094.20000
11/03/2088 00:00:00,4830.00000
12/03/2088 00:00:00,4924.70000
13/03/2088 00:00:00,4757.70000
14/03/2088 00:00:00,5151.70000
15/03/2088 00:00:00,5885.60000
16/03/2088 00:00:00,6048.20000
17/03/2088 00:00:00,5873.60000
18/03/2088 00:00:00,5576.10000
19/03/2088 00:00:00,5366.80000
20/03/2088 00:00:00,5719.50000
21/03/2088 00:00:00,6033.20000
22/03/2088 00:00:00,5887.30000
23/03/2088 00:00:00,5638.30000
24/03/2088 00:00:00,5259.00000
25/03/2088 00:00:00,5094.00000
26/03/2088 00:00:00,5064.40000
27/03/2088 00:00:00,5048.60000
28/03/2088 00:00:00,4891.50000
29/03/2088 00:00:00,5455.50000
30/03/2088 00:00:00,5864.90000
31/03/2088 00:00:00,5484.40000
01/04/2088 00:00:00,5459.20000
02/04/2088 00:00:00,5502.10000
03/04/2088 00:00:00,5934.10000
04/04/2088 00:00:00,5888.90000
05/04/2088 00:00:00,6032.50000
06/04/2088 00:00:00,6045.10000
07/04/2088 00:00:00,5775.00000
08/04/2088 00:00:00,5531.90000
09/04/2088 00:00:00,5391.80000
10/04/2088 00:00:00,5199.40000
11/04/2088 00:00:00,5149.70000
12/04/2088 00:00:00,5128.30000
13/04/2088 00:00:00,5326.30000
14/04/2088 00:00:00,5312.70000
15/04/2088 00:00:00,5250.50000
16/04/2088 00:00:00,5014.10000
17/04/2088 00:00:00,4780.10000
18/04/2088 00:00:00,4899.00000
19/04/2088 00:00:00,4640.20000
20/04/2088 00:00:00,4684.70000
21/04/2088 00:00:00,4654.70000
22/04/2088 00:00:00,4884.90000
23/04/2088 00:00:00,4256.10000
24/04/2088 00:00:00,4191.60000
25/04/2088 00:00:00,4277.50000
26/04/2088 00:00:00,4109.40000
27/04/2088 00:00:00,4146.00000
28/04/2088 00:00:00,4248.40000
29/04/2088 00:00:00,4296.20000
30/04/2088 00:00:00,4346.90000
01/05/2088 00:00:00,4433.30000
02/05/2088 00:00:00,4151.30000
03/05/2088 00:00:00,4154.60000
04/05/2088 00:00:00,4346.10000
05/05/2088 00:00:00,4471.10000
06/05/2088 00:00:00,4596.60000
07/05/2088 00:00:00,4422.30000
08/05/2088 00:00:00,4336.50000
09/05/2088 00:00:00,4368.40000
10/05/2088 00:00:00,4462.00000
11/05/2088 00:00:00,4487.90000
12/05/2088 00:00:00,4612.40000
13/05/2088 00:00:00,4444.40000
14/05/2088 00:00:00,4811.40000
15/05/2088 00:00:00,4627.70000
16/05/2088 00:00:00,4593.10000
17/05/2088 00:00:00,4551.80000
18/05/2088 00:00:00,4655.40000
19/05/2088 00:00:00,4749.60000
20/05/2088 00:00:00,4723.70000
21/05/2088 00:00:00,4623.80000
22/05/2088 00:00:00,4575.10000
23/05/2088 00:00:00,4462.20000
24/05/2088 00:00:00,4563.30000
25/05/2088 00:00:00,4372.20000
26/05/2088 00:00:00,4385.00000
27/05/2088 00:00:00,4243.50000
