id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.6714861E+06,  0.4748537E+07,  1218.507,  1657.373
           2,  0.6711068E+06,  0.4748381E+07,  1825.502,  3713.571
           3,  0.6708332E+06,  0.4748737E+07,  9999.000,  9999.055
           4,  0.6720969E+06,  0.4748202E+07,  1019.319,  1343.038
           5,  0.6717260E+06,  0.4748066E+07,  1659.594,  3670.129
           6,  0.6726497E+06,  0.4747784E+07,   815.975,  1052.640
           7,  0.6720237E+06,  0.4747887E+07,  1263.859,  2456.580
           8,  0.6723343E+06,  0.4747656E+07,  1110.612,  2078.716
           9,  0.6731952E+06,  0.4747349E+07,   907.782,  1230.643
          10,  0.6725893E+06,  0.4747416E+07,  1363.612,  2631.648
          11,  0.6728757E+06,  0.4747188E+07,   930.291,  2139.161
          12,  0.6737455E+06,  0.4746930E+07,   936.513,  1211.069
          13,  0.6731661E+06,  0.4746993E+07,  1293.783,  2963.289
          14,  0.6737220E+06,  0.4746534E+07,  1064.344,  2420.553
          15,  0.6741571E+06,  0.4746395E+07,  9999.000,  9999.055
          16,  0.6707183E+06,  0.4748112E+07,  3934.291,  9267.744
          17,  0.6713467E+06,  0.4747910E+07,  1219.028,  1648.606
          18,  0.6709814E+06,  0.4747704E+07,  1304.535,  4240.533
          19,  0.6704446E+06,  0.4748467E+07,  1999.360,  4364.976
          20,  0.6703564E+06,  0.4747860E+07,  1674.278,  5759.724
          21,  0.6700408E+06,  0.4748162E+07,  3808.771,  9478.125
          22,  0.6701433E+06,  0.4748780E+07,  9999.000,  9999.055
          23,  0.6719633E+06,  0.4747519E+07,  1002.870,  1378.035
          24,  0.6712875E+06,  0.4747544E+07,  1515.579,  3700.499
          25,  0.6716611E+06,  0.4747355E+07,  1048.205,  2944.489
          26,  0.6725602E+06,  0.4747060E+07,   902.036,  1290.826
          27,  0.6719716E+06,  0.4747123E+07,  1360.314,  3762.879
          28,  0.6731427E+06,  0.4746596E+07,   894.033,  1166.588
          29,  0.6725082E+06,  0.4746675E+07,  1343.803,  3320.855
          30,  0.6728054E+06,  0.4746440E+07,  1115.811,  4820.745
          31,  0.6735676E+06,  0.4746074E+07,  4505.854,  9694.560
          32,  0.6731014E+06,  0.4746205E+07,  1000.927,  1945.414
          33,  0.6740027E+06,  0.4745935E+07,  1032.154,  2624.419
          34,  0.6743832E+06,  0.4745741E+07,  9999.000,  9999.055
          35,  0.6734134E+06,  0.4745662E+07,  1268.536,  2736.906
          36,  0.6738032E+06,  0.4745491E+07,  1291.140,  7716.310
          37,  0.6706196E+06,  0.4747452E+07,  3103.717,  7115.739
          38,  0.6712958E+06,  0.4747148E+07,   961.729,  1521.486
          39,  0.6707697E+06,  0.4747040E+07,  1248.072,  6186.935
          40,  0.6699340E+06,  0.4747571E+07,  2949.622,  8799.090
          41,  0.6701578E+06,  0.4747263E+07,  1196.506,  6513.100
          42,  0.6697395E+06,  0.4748475E+07,  2109.990,  4636.789
          43,  0.6696185E+06,  0.4747873E+07,  1749.773,  5877.516
          44,  0.6693294E+06,  0.4748174E+07,  3809.171,  9568.028
          45,  0.6694432E+06,  0.4748780E+07,  9999.000,  9999.055
          46,  0.6697750E+06,  0.4747269E+07,  1198.301,  5166.585
          47,  0.6691613E+06,  0.4747581E+07,  3033.417,  9021.314
          48,  0.6693225E+06,  0.4747233E+07,  1312.014,  6570.448
          49,  0.6719196E+06,  0.4746739E+07,  1103.691,  1685.446
          50,  0.6714276E+06,  0.4746749E+07,  1742.388,  6641.925
          51,  0.6724669E+06,  0.4746283E+07,  1137.703,  1857.555
          52,  0.6719932E+06,  0.4746312E+07,  1975.759,  7346.386
          53,  0.6729472E+06,  0.4745793E+07,  1118.603,  5523.354
          54,  0.6724811E+06,  0.4745834E+07,  1555.919,  5259.476
          55,  0.6732155E+06,  0.4745186E+07,   735.836,  7611.286
          56,  0.6728890E+06,  0.4745269E+07,  1508.297,  5746.827
          57,  0.6741837E+06,  0.4745298E+07,  1877.318,  4946.646
          58,  0.6745117E+06,  0.4745054E+07,  9999.000,  9999.055
          59,  0.6736054E+06,  0.4745015E+07,  1112.578,  2536.803
          60,  0.6739402E+06,  0.4744843E+07,  1380.294,  8501.232
          61,  0.6729743E+06,  0.4744916E+07,   941.274,  5578.628
          62,  0.6736357E+06,  0.4744662E+07,   751.774,  2318.194
          63,  0.6733035E+06,  0.4744449E+07,   723.345,  4978.626
          64,  0.6703080E+06,  0.4746851E+07,  2509.418,  7911.505
          65,  0.6709014E+06,  0.4746641E+07,  1362.729,  2492.364
          66,  0.6705000E+06,  0.4746455E+07,  1431.642,  6018.702
          67,  0.6695463E+06,  0.4746925E+07,  3538.393,  9069.096
          68,  0.6698608E+06,  0.4746594E+07,  1105.368,  5167.052
          69,  0.6715012E+06,  0.4746322E+07,  1045.332,  1644.231
          70,  0.6711668E+06,  0.4746197E+07,  1155.400,  4012.866
          71,  0.6690331E+06,  0.4748479E+07,  1859.386,  4966.284
          72,  0.6688723E+06,  0.4747882E+07,  1676.730,  5718.246
          73,  0.6686071E+06,  0.4748198E+07,  3835.402,  9568.927
          74,  0.6687431E+06,  0.4748780E+07,  9999.000,  9999.055
          75,  0.6689326E+06,  0.4747238E+07,   960.176,  4709.083
          76,  0.6684433E+06,  0.4747641E+07,  3371.838,  8593.634
          77,  0.6686027E+06,  0.4747290E+07,  1130.657,  5484.721
          78,  0.6694083E+06,  0.4746558E+07,  1248.651,  4174.261
          79,  0.6687638E+06,  0.4746942E+07,  3507.989,  9233.764
          80,  0.6690020E+06,  0.4746576E+07,  1192.606,  5563.577
          81,  0.6720074E+06,  0.4745863E+07,  1209.173,  2534.071
          82,  0.6714823E+06,  0.4745980E+07,  1442.051,  4579.937
          83,  0.6724229E+06,  0.4745310E+07,   671.577,  5899.937
          84,  0.6718997E+06,  0.4745463E+07,  1472.065,  5278.425
          85,  0.6726060E+06,  0.4744665E+07,   620.389,  5524.496
